CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
-56761.53640517809,144163.0210973633,71733.98564660463,-71.25735707624895,-29034.713151139807,-72599.73571298932,-12103.37949415323,21425.978626369157,0
-56614.21606625414,143946.23154081294,71380.24695993941,-73.80545579227541,-28741.145356961806,-72684.3147089669,-12066.52146974334,21882.289462226,0
-56476.01523852439,143791.69158886024,71056.3925538297,-74.85598771905826,-28402.56115213401,-72724.43608787276,-11998.795688080532,21975.652693250937,0
-56325.431545104475,143558.67466680254,70652.45185211014,-57.42162808308769,-28011.450350967072,-72830.40570201908,-11978.723822756043,21976.77028040709,0
-56199.68063829426,143310.39150419182,70296.32152893076,-49.66557321939309,-27745.196386885425,-72914.8282357948,-11923.425610269642,21972.657559672447,0
-56054.81899111384,143104.0849151662,70208.00979185163,-57.15340716561122,-27756.036982300102,-72800.27555228923,-11871.56956622419,21972.612856186202,0
-55869.724206311956,142905.93671238044,70239.10106653578,-78.16404570126805,-27883.777194248272,-72583.57540271136,-11832.699884933227,21956.13962150452,0
-55743.794485556755,142716.5280411558,70259.66467020898,-58.047476890532785,-28010.019839407196,-72392.82562689934,-11871.92719411416,21609.017050803723,0
-55622.26805819678,142584.98803287672,70305.46339186808,-34.980477987556334,-28202.982437788392,-72218.28086485152,-11922.464485315351,21060.818198968067,0
-55567.930970664675,142479.1972326754,70347.79759334312,-26.799740004523994,-28414.83225910856,-72033.61076316897,-11930.064077977184,20760.924861486248,0
-55419.85067247454,142335.65433833923,70426.8557087693,-31.60536477597742,-28615.93089198654,-71839.86585377846,-11991.240798904944,20553.90301668066,0
-55315.400976860576,142228.92476492672,70601.98161613832,-47.028067530874466,-28810.41340890011,-71616.50488474994,-11996.538162025105,20316.28163553963,0
-52138.927706416114,139068.6118047602,315.4277989523291,125379.75611566044,153142.96800750305,-41748.11641860702,-130397.20835669091,43877.36582025085,0
41400.47975781439,97778.3261405424,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.15646220186127435,0.06705522936911758,168411.28727264926,179129.81981812834,-103742.7770342098,-126.80143873700135,-104693.53077969138,0
-51397.29686959367,138354.00422537353,67733.96240079179,-27.537347527584288,-26054.1752609119,-69732.27529122087,-10934.606846249511,164062.50977888762,0
128298.53613963937,110703.51217410041,-93754.8782679366,180987.42848559786,170110.5785435783,184767.51057908003,98621.76916729027,-93750.00558793578,0
-51269.53430590238,138083.36931963978,67919.25835128178,-7.040799083757347,-26148.790189551724,-69336.13534785125,-10919.921751017675,19192.547750028836,0
-51269.53430590238,138012.64840439847,68040.67301992612,-11.08646458902744,-26355.454406467343,-69134.92495625764,-10905.32606275833,18810.310590881738,0
-51269.51195415926,137910.94797318865,68122.54745498582,-22.77642624237694,-26583.755110726066,-68928.88658814947,-10899.626368261956,18402.614796317506,0
-51269.5566576455,137573.36959680138,68162.55707517605,-92.89384441935088,-27009.578168963086,-68493.49698385579,-10851.525417061175,17535.210700941723,0
-51267.07561415884,137451.21732063396,68203.68428252244,-115.89378809295822,-27210.40858092359,-68272.08061647895,-10840.483655958393,17021.47823700179,0
-51118.81650202373,137323.0971290527,68139.8924076493,-109.34472735790774,-27340.965112505262,-68076.50286415235,-10791.667448977676,16648.740568681987,0
-50820.756007478,137140.66220168248,67877.1700189811,-59.477988450407295,-27234.43670478086,-67943.2417716528,-10744.080587868726,16587.40738555237,0
-50669.92644488373,136894.88243430154,67481.9241453364,-77.15821726073129,-27047.240856125405,-67868.6316531081,-10723.539335938653,16696.03685713034,0
-50544.3543520185,136655.56232068312,67028.00494599371,-88.84817891408079,-26783.356176814803,-67898.94061678293,-10712.385816120255,16907.663161019274,0
-50434.78610722936,136399.07606834624,66579.7630894043,-65.95999395608865,-26465.17911345834,-68023.21630854704,-10662.854353359602,17190.61387721383,0
-50340.30528904827,136163.7569167469,66150.92254584566,-55.45467468826024,-26156.009802580465,-68136.60670141022,-10603.242254450455,17421.954418537283,0
-50221.72929178055,135935.54561946067,65765.5114391751,-49.19618661380927,-25878.691725652916,-68210.12158454189,-10550.089809303869,17630.697347563346,0
-50108.47300937611,135704.4732990547,65341.744741305396,-58.13688386302494,-25605.15109331316,-68334.84431116845,-10500.111311680754,17916.4643833914,0
-49999.91059302751,135496.35621883607,64977.21016271175,-36.45569303367692,-25348.351916572567,-68420.27267338471,-10446.444776442335,18159.003148019503,0
-49879.36764236496,135321.31971843954,64878.8848447135,-58.047476890532785,-25326.08958042202,-68370.98707979842,-10413.654769280836,18105.090743606732,0
-49786.697315376834,135170.95954245087,64977.61249408797,-51.6101748710975,-25408.99219566537,-68230.6181329857,-10410.033786894905,17902.852171829472,0
-49676.7490909546,135015.8607969201,65096.747284933765,-50.89491909116025,-25531.099768346532,-68061.63895497554,-10414.459432033265,17662.459174541185,0
-49540.694030564664,134884.07491946666,65264.586524044666,-51.207843494882795,-25724.688215535174,-67877.70646081604,-10416.202867996863,17364.823363114796,0
-49435.81965183136,134806.6931847747,65416.198397648244,-81.62856588533913,-25913.068706576152,-67697.99844610681,-10435.827698458892,17096.378928207097,0
-47102.25296629983,130942.18855751686,62946.50959649739,-78.61108056372885,-25395.44703933281,-65862.36154212723,-9875.469498364298,16249.001994669557,0
-46957.05604297257,130726.53893986577,62585.506593317186,-59.43328496416122,-25120.610005891922,-65917.90562378798,-9805.486190646063,16564.496848851253,0
-46703.92255210415,130403.71271393972,61940.70350770375,-68.06105780965434,-24559.625956989883,-65917.99503076047,-9692.967515764685,17107.107764906155,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
